,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Toilets,   ,Bathrooms,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
747, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
748, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
749, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
750, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
751, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
752, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
753, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
754, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
755, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
756, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available,, 5, ,, 30, Serviced," ₦240,000 per annum",,, Furnished
757, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
758, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
759, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
760, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
761, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
762, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
763, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
764, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
765, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
766, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
767, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
768, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
769, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
770, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
771, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
772, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
773, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
774, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
775, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
776, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
777, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,,, 10,,,,,
778, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
779, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
780, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
781, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
782, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
783, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
784, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
785, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
786, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
787, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
788, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
789, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
790, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
791, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
792, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
793, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
794, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
795, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
796, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
797, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
798, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,,, 10,,,,,
799, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
800, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
801, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
802, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
803, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
804, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
805, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
806, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
807, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
808, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
809, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
810, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
811, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
812, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
813, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
814, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
815, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
816, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
817, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
818, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
819, per annum,"8,000,000", Detached Duplex," Harmony Enclave, Adeniyi Jones, Ikeja, Lagos", 1293751, 18 Apr 2022, 18 Apr 2022, Available, 5, 6, ,,,,,,,
820, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
821, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
822, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
823, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
824, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
825, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
826, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
827, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
828, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
829, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
830, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
831, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
832, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
833, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
834, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
835, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
836, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
837, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
838, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
839, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
840, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,,, 10,,,,,
841, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
842, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
843, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
844, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
845, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
846, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
847, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
848, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
849, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
850, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
851, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
852, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
853, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
854, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
855, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
856, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
857, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
858, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
859, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
860, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
861, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303789, 28 Apr 2022, 05 May 2022, Available,, 1,, 4,, Serviced," ₦150,000 per annum",,,
862, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
863, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
864, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
865, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
866, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
867, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
868, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
869, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
870, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
871, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
872, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
873, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
874, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
875, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
876, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
877, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
878, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
879, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
880, per annum,"3,000,000", Semi-detached Duplex," Crown Estate Sangotedo, Ajah, Lekki, Lagos", 1310283, 05 May 2022, 05 May 2022, Available, 5, 6,, 5,, Serviced,,,,
881, per annum,"800,000", Flat / Apartment," Lakowe, Ibeju Lekki, Lagos", 1310277, 05 May 2022, 05 May 2022, Available, 2, 3, , 2, 2, Serviced," ₦78,000 per annum",,,
882, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,,, 10,,,,,
883, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 4, 5,, 5, 5,,,,,
884, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, , 5, 3, Serviced," ₦40,000 per month",,,
885, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, , 5,, Serviced," ₦500,000 ",,,
886, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2,, 2, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
887, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310351, 05 May 2022, 05 May 2022, Available, 1, 2, , 2,, Serviced," ₦100,000 per annum",,,
888, per annum,"2,200,000", Flat / Apartment," Ikate, Lekki, Lagos", 1310349, 05 May 2022, 05 May 2022, Available, 2, 3, , 2,,,,,,
889, per annum,"3,000,000", Terraced Duplex," Forte Contempo Estate, Ajah, Lagos", 1310347, 05 May 2022, 05 May 2022, Available, 3, 4,, 3, 2,,,,,
890, per annum,"8,000,000", Flat / Apartment," Off Adeola Adeku, Victoria Island (VI), Lagos", 1310339, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,, Serviced," ₦1,500,000 ",,,
891, per annum,"3,800,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310337, 05 May 2022, 05 May 2022, Available, 3,,,,,,,,,
892, per annum,"2,000,000", Flat / Apartment," Ilasan, Lekki, Lagos", 1310334, 05 May 2022, 05 May 2022, Available, 3, 4, , 3,,,,,,
893, per annum,"3,500,000", Flat / Apartment," Lekki Phase 1, Lekki, Lagos", 1310330, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦700,000 per annum",,,
894, per annum,"1,000,000", Self Contain (Single Rooms)," Oniru, Victoria Island (VI), Lagos", 1310325, 05 May 2022, 05 May 2022, Available,, 1, , 1,,,,,,
895, per annum,"3,000,000", Flat / Apartment," Ali Rabiu Street, Jahi, Abuja", 1310290, 05 May 2022, 05 May 2022, Available, 3, 4, , 3, 2, Serviced," ₦9,000 per month",,,
896, per annum,"1,300,000", Flat / Apartment," Ogombo, Ajah, Lagos", 1310319, 05 May 2022, 05 May 2022, Available, 3, 3,, 2, 2,,,,,
897, per annum,"5,500,000", Terraced Duplex," Ikate, Lekki, Lagos", 1310317, 05 May 2022, 05 May 2022, Available, 4, 5, , 4, 3,,, 150 sqm,,
898, per annum,"1,800,000", Flat / Apartment," Ajah, Lagos", 1310306, 05 May 2022, 05 May 2022, Available, 2, 3,, 2, 2,,,,,
899, per annum,"700,000", Mini Flat (Room and Parlour)," Lekkischeme2, Ajah, Lagos", 1310303, 05 May 2022, 05 May 2022, Available, 1, 1,, 1, 1,,,,,
900, per annum,"6,000,000", Terraced Duplex," Lekki, Lekki Phase 1, Lekki, Lagos", 1310284, 05 May 2022, 05 May 2022, Available, 4, 5, , 4,, Serviced," ₦1,000,000 per annum",,,
