,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Parking Spaces,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Total Area,Covered Area,Furnishing
143, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
144, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
145, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
146, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
147, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available,, 5, 5, 6, ,,,,,
148, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
149, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
150, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
151, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
152, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
153, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
154, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
155, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
156, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
157, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
158, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
159, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
160, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
161, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
162, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
163, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
164, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
165, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
166, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
167, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
168, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available, 120,,,,,,,,,
169, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
170, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
171, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
172, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
173, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
174, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
175, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
176, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
177, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
178, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
179, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
180, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
181, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
182, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
183, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
184, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
185, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
186, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
187, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
188, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
189, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
190, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
191, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
192, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
193, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
194, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
195, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
196, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
197, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
198, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
199, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
200, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
201, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
202, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
203, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
204, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
205, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
206, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
207, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
208, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
209, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
210, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available, 30,,, 5, , Serviced," ₦240,000 per annum",,, Furnished
211, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
212, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
213, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
214, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
215, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
216, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
217, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
218, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
219, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
220, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
221, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
222, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
223, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
224, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
225, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
226, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
227, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
228, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
229, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
230, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
231, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 1, 3, 3, 4, , Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
232, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
233, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
234, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
235, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
236, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
237, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
238, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
239, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
240, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
241, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
242, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
243, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
244, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
245, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
246, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
247, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
248, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
249, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
250, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
251, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
252, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available, 30,,, 5, , Serviced," ₦240,000 per annum",,, Furnished
253, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
254, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
255, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
256, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
257, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
258, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
259, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
260, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
261, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
262, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
263, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
264, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
265, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
266, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
267, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
268, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
269, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
270, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
271, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
272, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
273, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
274, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
275, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
276, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
277, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
278, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
279, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
280, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
281, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
282, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
